method, generation, power, ar
surrogate, 1, 120.0, 0.95
surrogate, 2, 120.0, 0.95
surrogate, 3, 208.0, 0.975
surrogate, 3, 120.0, 0.95
surrogate, 3, 119.0, 0.85
surrogate, 4, 208.0, 0.975
surrogate, 4, 208.0, 0.975
surrogate, 4, 120.0, 0.95
surrogate, 4, 87.0, 0.875
surrogate, 5, 208.0, 0.975
surrogate, 5, 208.0, 0.975
surrogate, 5, 120.0, 0.95
surrogate, 5, 87.0, 0.875
surrogate, 5, 71.0, 0.775
surrogate, 5, 62.0, 0.725
surrogate, 6, 208.0, 1.0
surrogate, 6, 120.0, 0.95
surrogate, 6, 87.0, 0.875
surrogate, 6, 71.0, 0.775
surrogate, 6, 62.0, 0.725
emulator, 6.1, 211.0, 1.0
